Size, Moves, Time(ns)
101,2600,592243
201,10200,509232
301,22800,1224028
401,40400,1264477
501,63000,640842
601,90600,725362
701,123200,919153
801,160800,1210143
901,203400,1611310
1001,251000,1865473
1101,303600,2103639
1201,361200,1626101
1301,423800,1838306
1401,491400,2006138
1501,564000,2345727
1601,641600,2117524
1701,724200,2446849
1801,811800,2704030
1901,904400,2968156
2001,1002000,3273031
2101,1104600,3604771
2201,1212200,4013484
2301,1324800,4477439
2401,1442400,4689040
2501,1565000,5101073
2601,1692600,5485941
2701,1825200,5874128
2801,1962800,6311519
2901,2105400,6852144
3001,2253000,7299495
3101,2405600,7836799
3201,2563200,8452587
3301,2725800,8860093
3401,2893400,9322840
3501,3066000,10273386
3601,3243600,10513663
3701,3426200,11257740
3801,3613800,11560200
3901,3806400,12000910
4001,4004000,12993113
4101,4206600,14392520
4201,4414200,16585206
4301,4626800,16648595
4401,4844400,15826942
4501,5067000,16409223
4601,5294600,16959508
4701,5527200,17734675
4801,5764800,18603117
4901,6007400,19538570
5001,6255000,19900194
5101,6507600,21131769
5201,6765200,21971836
5301,7027800,22625355
5401,7295400,24210705
5501,7568000,24379745
5601,7845600,25115370
5701,8128200,26238578
5801,8415800,27366314
5901,8708400,28304786
6001,9006000,28975511
6101,9308600,29675214
6201,9616200,30603121
6301,9928800,31572382
6401,10246400,33062649
6501,10569000,33813366
6601,10896600,35223338
6701,11229200,36297343
6801,11566800,37301318
6901,11909400,38264844
7001,12257000,39194562
7101,12609600,40967064
7201,12967200,41303030
7301,13329800,43642117
7401,13697400,43486660
7501,14070000,45328890
7601,14447600,45680553
7701,14830200,48185661
7801,15217800,48524344
7901,15610400,50903275
8001,16008000,51666369
8101,16410600,52875304
8201,16818200,54209510
8301,17230800,56182746
8401,17648400,57102806
8501,18071000,57899404
8601,18498600,58437011
8701,18931200,60484806
8801,19368800,61598053
8901,19811400,62540449
9001,20259000,64883761
9101,20711600,65533658
9201,21169200,68609879
9301,21631800,68719151
9401,22099400,71456084
9501,22572000,74298063
9601,23049600,71884720
9701,23532200,76006571
9801,24019800,76388721
9901,24512400,79085206
10001,25010000,79525614
